NbS_Group,ID,Source_title,Organisation__authoring_body,Year,Document_type,Geography,Spatial_approach,Scalability_A_Geographic,Scalability_A_Justification,Scalability_B_Method,Scalability_B_Justification,Scalability_C_Data,Scalability_C_Justification,Scalability_Score,Quality_Citations,Quality_Confidence,Quality_Score,Combined_Score,Final_Benchmark,citations,Confidence,Link
Forest Protection & Sustainable Management,1,Regional Prioritization for Forest Restoration across California’s Sierra Nevada,The Nature Conservancy (Rodd Kelsey et al.),2017,Technical report,"Regional (Sierra Nevada, USA)",MCDA / weighted overlay,2,"The spatial analysis was applied to the 1,149 HUC-12 watersheds across California's Sierra Nevada region, which encompasses approximately 25 million acres",2,"The spatial prioritization method utilized in this document is rule-based and employs categorical thresholds to classify watersheds, making it less reliant on local expert inputs or complex local calibrations, thereby facilitating a moderate level of transferability. However, the potential need for re-assignment of criteria weights and local datasets limits its applicability in other regions; hence, local adaptation would still be necessary. Thus, while some elements of the method can be replicated, important adjustments are needed to tailor it to other contexts.",2,"The analysis primarily utilizes a range of publicly available datasets, such as USFS eVEG vegetation maps, California Natural Diversity Database, and MTBS wildfire data, which are accessible and replicable in other regions",2,1,1,1,1.5,Low,15,Low,https://www.scienceforconservation.org/products/sierra-blueprint
Forest Protection & Sustainable Management,2,A Guide to the Restoration Opportunities Assessment Methodology (ROAM),IUCN & WRI,2014,Methodological working paper,Global (methodology),Suitability mapping (multi-criteria),3,"The ROAM methodology outlined in the document was applied in multiple countries, explicitly noting examples from Mexico and Ghana, indicating its use at a scale that transcends local or national boundaries. This suggests that the methodology is not only adaptable for various national contexts but is also intended for broader applications that can cater to more than one country; hence, I assign a score of 3.",2,"The ROAM methodology provides a structured approach to spatial prioritisation that utilizes both knowledge mapping and digital mapping components, offering a clear sequence of steps that could be replicated elsewhere. However, the need for local calibration, context-specific weights derived from stakeholder input, and the reliance on national datasets make the method moderately transferable; while its framework is documented, it still requires local adaptation and expertise for effective application in different regions.",2,"The document describes the ROAM methodology, which relies heavily on varying degrees of data access and availability based on region-specific surveys and maps. While it mentions the use of stakeholder surveys, national GIS datasets, and locally sourced maps specific to Mexico and Ghana, it does not indicate the use of global datasets that could be consistently replicated in different regions. As such, the analysis is dependent on local or national datasets that would need to be substituted or newly collected in other contexts, making the generalizability limited. Therefore, I would assign a score of 2, reflecting a mixed approach. 

2",2,3,3,3,2.5,High,300,High,https://portals.iucn.org/library/sites/library/files/documents/2014-030.pdf
Forest Protection & Sustainable Management,3,"Landscapes, at Your Service: Applications of the Restoration Opportunities Optimization Tool (ROOT)",IUCN (Global Forest and Climate Change Programme),2018,Report (tool case studies),"Multi-country (e.g. Brazil, Malawi, Myanmar)",Spatial optimisation,3,"The document applied the Restoration Opportunities Optimization Tool (ROOT) across multiple countries including Brazil, Malawi, Myanmar, Colombia, and Costa Rica, indicating a geographic scope that is multi-country in nature",2,"The ROOT framework uses a standardized approach to spatial optimization that is based on linear programming, allowing for the analysis of multiple ecosystem service trade-offs across different regions. While it requires some local adaptation for specific objectives and input data, its core methodology is documented and replicable elsewhere, with many elements being applicable with minor adjustments",2,"The analysis described in the document appears to rely heavily on case studies derived from various geographical contexts (Brazil, Malawi, Myanmar, Colombia, and Costa Rica), which likely involve both nationally sourced data and region-specific validation datasets. However, since it primarily utilizes ecosystem service modeling frameworks (like InVEST), which can accept global datasets, and mentions stakeholder-validated national datasets that might be comparable, it suggests a mixed nature of inputs. Aspects such as impact potential rasters and beneficiary maps imply a certain level of regional specificity, but the abstracted nature of the optimization process can allow for application in different areas if equivalent datasets are used.

Overall, while some inputs may be replicated with equivalent global datasets, others would necessitate local validations, making it a mixture rather than entirely replicable with just global data. Therefore, I would score this as MIXED.

2",2,2,2,2,2,Medium,50,Medium,https://www.iucn.org/resources/publication/landscapes-your-service
Forest Protection & Sustainable Management,4,WePlan – Forests: Decision Support Platform for Spatial Planning of Forest Ecosystem Restoration,CBD Secretariat & International Institute for Sustainability (with CIFOR and partners),2020,Tool platform (documentation),Global (tropical countries focus),Spatial optimisation,2,"The spatial analysis was applied at the national scale, specifically in the context of tropical countries, with a case study conducted in China covering 64 million hectares of forest land",2,"The WePlan platform employs a linear programming optimisation method that is based on a generalizable framework for spatially explicit restoration planning, making it adaptable to different national contexts with some regional parameter tuning. While it incorporates global data, its reliance on context-specific weights and models suggests that users in other regions would need to adapt certain parameters and inputs to fit local conditions, leading to moderate transferability",2,"The analysis primarily uses a mix of globally available datasets, such as Copernicus land cover, WorldClim bioclimatic variables, SoilGrids soil parameters, and species distribution models from SPARC, which are openly accessible. It also relies on local economic data, such as gridded GDP for establishment cost modeling and land rent estimates from MapSPAM/FAOSTAT, which may not be globally available in the same format. Given this combination, the analysis can be replicated in different regions with appropriate substitutions for the local datasets, but some region-specific data will still need to be collected or adapted. Therefore, it scores a 2 for mixed data sources.",2,2,1,2,2,Medium,30,Low,https://www.weplan-forests.org/
Forest Protection & Sustainable Management,5,Mano River Union (West Africa) Forest Landscape Restoration Opportunities Assessment (transboundary ROAM),EU PAPFor Program / Mano River Union (draft report),2023 (draft),Analytical report,"Regional (Guinea, Sierra Leone, Liberia, Côte d’Ivoire)",Spatial screening / feasibility,3,"The spatial analysis described in the document was applied to four priority transboundary landscapes across the Mano River Union countries of Côte d’Ivoire, Guinea, Liberia, and Sierra Leone, indicating a multi-country extent rather than a single country or local area; therefore, the score is 3.",2,"The spatial method described relies heavily on local validation, expert verification, and context-specific adaptations, particularly in linking SMCA outputs to local interventions, which indicates that while the framework has a documented structure, its practical application necessitates substantial local inputs and adjustments. Therefore, it is not easily transferable to other regions without significant additional efforts",2,"The summary describes an analysis that incorporates both globally available and locally sourced data. It references the use of global datasets like ESA Sentinel-2 imagery and general analyses such as rainfall erosivity, but it also heavily relies on national ROAM activity reports and local validation data, indicating that replicating this analysis in different regions would require local datasets specific to the context. The mixing of globally available datasets with specific national contexts suggests that while some elements could be replicated, a significant part of the analysis would need region-specific input not publicly accessible elsewhere.

2",2,1,1,1,1.5,Low,5,Low,https://www.iucn.org/our-work/region/africa/our-projects/forest-landscape-restoration-mano-river-union
Forest Protection & Sustainable Management,6,High Carbon Stock (HCS) Approach Toolkit (v2.0),HCS Approach Steering Group (multi-stakeholder),2017,Methodology toolkit,Tropical (plantation landscapes in Asia/Africa),Spatial screening / feasibility,1,"The HCS Approach Toolkit was applied at the concession or development-area scale within tropical landscapes, focusing primarily on specific project-level land allocations rather than broad national or multi-country applications",2,"The HCS Approach employs a structured methodology that integrates remote sensing, vegetation classification, and expert input to guide land-use decisions in tropical landscapes. While the general framework for the method can be delineated and has potential applicability elsewhere, its reliance on local field calibration, stakeholder engagement, and expert judgment to define vegetation strata and decision-making thresholds makes it moderately transferable",2,"The analysis in the document heavily relies on mixed data sources, including satellite imagery and LiDAR datasets, which are often regionally available but also broadly applicable. However, the need for field inventory plots and participatory mapping indicates a requirement for local data collection, which may not be easily replicable in other regions without equivalent local datasets. While some remote sensing data is globally accessible, the methodology's dependency on local ground-truthing and participatory processes suggests that replication would require significant effort to gather similar local data. Therefore, I would assess the generalizability of the input datasets as mixed.",2,2,2,2,2,Medium,80,Medium,https://highcarbonstock.org/publications/
Forest Protection & Sustainable Management,8,Decision Support Tools for Forest Landscape Restoration: Current Status and Future Outlook,CIFOR (Chazdon & Guariguata),2018,Occasional Paper (review),Global,Other (method review),2,"The document assesses decision support tools for forest landscape restoration (FLR) that are applicable at national and sub-national scales, focusing on various tools for planning and prioritization related to restoration efforts. However, the tools and methodologies discussed are intended to inform decision-making processes at broader governance levels, including national investment planning; therefore, the largest geographic scope at which the spatial analysis was applied is at the national level.",2,"The spatial prioritization methods reviewed in the document utilize a structured analytical framework that can be documented and replicated across different contexts; however, they require local adaptation in terms of weighting criteria and stakeholder engagement to reflect specific socioecological conditions, which makes it moderately transferable rather than highly transferable.",2,"The summary mentions a variety of spatial datasets relevant for modeling frameworks, including biophysical data such as land cover, soil types, climate, and carbon stocks, as well as biodiversity and socioeconomic data. However, it notes substantial data constraints in many regions and emphasizes the reliance on expert knowledge where data is lacking—suggesting that some datasets may not be openly accessible elsewhere. Additionally, while there are mentions of broadly applicable analytical tools (like InVEST), the necessity of local adaptation and the context-specific nature of economic valuations imply that replication in another region may be challenging without gathering equivalent local data. Therefore, I assess the generalizability of the datasets as mixed in nature.

2",2,3,3,3,2.5,High,170,High,https://www.cifor-icraf.org/knowledge/publication/6792/
Forest Expansion & Regeneration,6,Afforestation and Reforestation Recommendation Module – Green‒HIT project,Frederick University & partners (EU-funded),2023,Project technical report (deliverable),Cyprus (pilot; Mediterranean dry forests),MCDA / weighted overlay,1,"The spatial analysis was applied specifically in Cyprus, targeting the restoration of areas affected by previous fire events in the Solea and Argaka regions. This indicates the implementation was at a sub-national level, as the analysis focused on precise locations within Cyprus rather than on a broader national or multi-country scale",2,"The method employs a spatial multi-criteria decision analysis (SMCA) framework that follows established procedures but relies heavily on context-specific expert input for weight assignment, which limits its direct transferability to other regions without significant adaptation. While the framework itself is documented and potentially replicable, the need for local expert consultation and tailored parameter tuning means that it is not easily transferable without substantial efforts",2,"The analysis relies heavily on several datasets, including Sentinel-2 imagery, MODIS burned area, CHIRPS precipitation, and Copernicus land cover, which are all publicly accessible and globally available. However, it also incorporates local elements and specific criteria related to the fire events and ecological conditions in Cyprus, which may not be directly transferable without local data collection. The presence of mixed-resolution data and the focus on national forest management suggest that while the methods themselves can be generalized, their application in a different region may require local adaptations and data. Given this combination, I would score this analysis as 2.",2,1,1,1,1.5,Low,5,Low,https://greenhit-project.eu/deliverables/
Forest Expansion & Regeneration,7,Restoring Hope Project: Optimizing and aligning restoration goals using spatial data (Colombia),UNDP & CBD (with Colombia Min. Environment),2024,Technical report (pilot project),Colombia (also piloted in 4 other countries),Spatial optimisation,2,"The spatial analysis described in the document was explicitly applied at a national level within Colombia, focusing on identifying priority areas for ecosystem restoration across the entire country to support its national restoration goals",2,"The spatial optimisation method described in the document requires locally derived expert weights and multiple stakeholder consultations, which necessitates considerable adaptation for use in different contexts. While the overarching analytical framework and systematic conservation planning approach may be applicable elsewhere, the specific parameterization and weighting are highly context-dependent, making it only moderately transferable without local customization",2,"The analysis in this document is based on a mix of national datasets and some global modeling products. Specific national datasets include those from the Humboldt Institute and the use of an IUCN habitat classification scheme, which may not be readily available or easily replicated in other regions. However, it also incorporates various globally recognized methodologies and tools, such as systematic conservation planning techniques, that could allow for adaptation in different contexts. Given this blend of data sources and approaches, the analysis may not be fully reproducible elsewhere without local adaptations, primarily due to reliance on national datasets; thus, I would score it as 2.",2,1,1,1,1.5,Low,5,Low,https://www.cbd.int/gbf/targets/2/restoring-hope/
Crop Production Systems,2,Mapping opportunities for cocoa agroforestry in Côte d’Ivoire: Assessing its potential to contribute to national forest cover restoration targets and ecosystem services co-benefits,UN-REDD Programme (UNEP-WCMC & Partners),2021,Technical report,Côte d’Ivoire,Suitability mapping,2,"The spatial analysis was applied at the national level, covering both Ghana and Côte d’Ivoire in its geospatial prioritization of cocoa agroforestry opportunities",2,"The spatial method described in the document utilizes established techniques for suitability mapping, such as climatic threshold assessments and rule-based filtering, which can be generally replicated in other contexts with minimal adaptation. However, it requires local calibration of climate suitability thresholds and socio-economic considerations that may vary significantly between regions",2,"The document primarily utilizes various spatial datasets, including climate data (temperature and precipitation), cocoa distribution and production maps, land cover data, protected area boundaries, tree cover and biomass layers, and degradation and restoration opportunity datasets. While some of these datasets may be derived from global sources (like remote sensing products), they are also paired with national datasets specific to Ghana and Côte d'Ivoire. This mixture suggests that while the approach could be replicated in other regions with similar agroforestry contexts, it would require some local data collection and adaptation, particularly for the national datasets and the specific land use patterns in those countries. Hence, I would assign a score of 2.",2,2,2,2,2,Medium,30,Medium,https://projects.sare.org/sare_project/gnc22-344/
